timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
50:07.2,1163.4,0.1,0,1,-1.9,1.5,0.2
50:07.8,1176.5,0,0,1.1,4.1,8.4,0.5
50:08.4,1124.1,-0.1,0.2,1.1,-11.8,0.4,29.5
50:08.9,1137.2,0.1,-0.2,1.1,5.2,-3.8,51.4
50:09.5,1111,0.2,-0.3,1,18.4,2.7,24.3
50:10.1,1097.9,0.1,0.1,0.8,-9.9,-8.7,44.3
50:10.7,1137.2,-0.1,0.1,0.8,-0.4,-0.5,17.5
50:11.2,1150.3,0,0.1,1,-0.7,-2.3,28.3
50:11.7,1176.5,0.1,0,0.9,-8.3,14.4,32.7
50:12.3,1150.3,0,0.1,0.9,-9,-1.8,14.6
50:12.9,1163.4,0,-0.1,0.8,-7,-20.5,18.1
50:13.4,1150.3,-0.1,0.2,1.2,-5.5,-3.3,34.5
50:14.0,1189.6,-0.2,-0.1,1.1,-16.3,7.6,24.6
50:14.6,1150.3,0.1,0.1,0.9,-10.9,-17.3,1.9
50:15.2,1202.7,0.1,-0.2,0.9,-12,11,2.8
50:15.7,1189.6,0,-0.6,1.2,29.2,-11.7,-3.9
50:16.2,1189.6,0,-0.1,0.9,-3.7,-10.8,0.8
50:16.8,1176.5,0.1,-0.1,1,-3.5,-16.7,3
50:17.4,1137.2,0.1,0.3,1.2,5.1,31.5,-1.9
50:18.0,1137.2,0.1,0.1,0.9,5.6,-1.1,2.5
50:18.5,1150.3,0,0.2,0.6,16.5,-21.7,44.5
50:19.1,1111,-0.1,0.1,1,-7.3,1.3,31.8
50:19.7,1124.1,0.5,-0.4,0.7,-16.1,23.9,22.6
50:20.2,1150.3,0.6,1,0.7,-39.4,9.5,44.7
50:20.8,1150.3,0.1,0.1,0.9,-8.5,17.4,21.5
50:21.3,1097.9,0,0,1,-13.3,-1.1,19.3
50:21.9,1163.4,0.2,0.4,1.1,11.5,23.7,35.9
50:22.5,1097.9,-0.1,-0.2,1.1,-10.6,-7.4,25
50:23.0,1137.2,-0.2,0.2,1,9,5.3,10.1
50:23.6,1202.7,0.1,0.2,0.8,0.8,-0.4,26.1
50:24.2,1215.8,0.2,0.3,1,5.7,-7.1,29.8
50:24.7,1215.8,0,0,1.2,1.3,-6.5,4.1
50:25.3,1150.3,0.1,0.5,0.8,-38.9,27.8,-0.5
50:25.8,1137.2,0.1,0.3,0.8,-1,1.6,4
50:26.4,1111,-0.1,0,0.8,5.6,-1,1.4
50:27.0,1176.5,0.3,0.1,0.9,-2.6,18.2,-2
50:27.5,1150.3,0.3,-0.5,1.1,0.7,0.1,1.2
50:28.1,1150.3,0.2,-0.2,1,57.9,-40.4,-6.1
50:28.7,1137.2,0.1,0.3,1,-14.8,8.6,41.5
50:29.2,1150.3,0.1,-0.6,1.1,2.7,-6.1,37.2
50:29.8,1137.2,0.1,0,0.9,-2.8,7.1,21.1
50:30.3,1111,-0.1,-0.3,1.1,-14.6,-1.5,43.2
50:30.9,1071.7,0.1,0.1,0.9,-14.9,20.1,22
50:31.5,1150.3,-0.1,-0.1,1,12.2,28.3,14.2
50:32.0,1176.5,0,0.2,0.9,-6.6,-4.2,31.4
50:32.6,1137.2,0,-0.1,0.9,-19.9,5.1,35.2
50:33.2,1176.5,-0.1,-0.1,1.1,1,8.8,8.8
50:33.8,1202.7,0.2,-0.1,1.1,13.3,14.2,15.8
50:34.3,1163.4,0,0,0.7,-5.6,5.7,32.2
50:34.8,1189.6,-0.2,-0.1,0.9,-4,-14.9,22.3
50:35.4,1189.6,0,-0.1,1,-2,-19.4,5.2
50:36.0,1163.4,0,-0.1,1.1,7.2,-4.7,-3.7
50:36.6,1163.4,-0.3,-0.4,1.1,-4.3,-1.1,-3.5
50:37.1,1137.2,0,0,0.9,7.5,10.6,0.5
50:37.7,1163.4,0,0,1.1,-4.8,-25.7,1.8
50:38.3,1137.2,0,0.1,1.1,-4.1,2.4,-0.8
50:38.8,1111,0.1,0.1,0.7,16.2,6.6,-2.6
50:39.3,1137.2,-0.1,-0.1,0.8,-10,13.6,23.9
50:39.9,1176.5,-0.1,0.1,1.2,-7,-25.9,39.9
50:40.5,1124.1,0,-0.3,0.9,12.3,-9.3,23.7
50:41.1,1150.3,0.2,0.1,0.8,7.7,3.6,24.3
50:41.6,1137.2,0.1,0.4,0.9,1.5,-19.8,38.4
50:42.2,1137.2,0,0.2,0.8,8.1,-4,14.2
50:42.8,1084.8,0,0,1,-3.3,-3.1,20.1
50:43.3,1150.3,0,-0.1,1,4,-2.1,26.8
50:43.9,1111,0,-0.2,1,13.7,6.1,22.8
50:44.4,1097.9,0,-0.1,1.1,-17,-10.7,12.2
50:45.0,1176.5,0,0.1,0.9,-6.1,12,18.5
50:45.6,1189.6,0.1,0.4,0.9,-23.2,25.7,42.7
50:46.1,1189.6,0.1,0.1,0.8,-32.1,9,24.9
50:46.7,1150.3,0.1,0,1,17.2,16.3,-2.7
50:47.3,1163.4,0,-0.1,1,-3.8,4.7,0.6
50:47.8,1137.2,0,0.1,0.9,-20.6,15.4,4.8
50:48.4,1124.1,0,-0.1,0.8,-12.1,-22.9,1.7
50:48.9,1163.4,0.5,0,0.7,18.4,8,-4.9
50:49.5,1150.3,0,-0.3,0.9,-3.8,-1.4,5.7
50:50.1,1124.1,0,-0.2,1.1,-0.1,12.3,1.2
50:50.6,1137.2,0,0,1,-4.5,-4.8,0.5
51:35.3,1176.5,0.1,0,0.9,-0.1,-1.4,1.1
51:35.9,1163.4,0,0,1,-8.9,-3.5,15.1
51:36.5,1137.2,-0.1,-0.3,1.3,8.8,7.3,52.5
51:37.0,1097.9,0,0.1,1.3,24.1,29.5,12.9
51:37.5,1071.7,0.2,-0.2,0.9,14.4,5.5,43.7
51:38.1,1084.8,0.2,0.1,1.1,-7.5,16.7,22.1
51:38.7,1137.2,-0.1,0,0.8,3.5,4,12.6
51:39.2,1124.1,0.1,0,0.9,-0.8,6.6,30.7
51:39.8,1137.2,0.1,0.1,0.9,-5.1,2.8,26
51:40.4,1176.5,0.2,0,1.1,-20.8,1.2,10.9
51:41.0,1111,0.2,-0.1,1.2,-12.3,-9.6,24.5
51:41.5,1124.1,0,-0.3,1.1,-2.1,5.7,33.7
51:42.0,1150.3,0,0,0.9,14.7,-6.2,11.6
51:42.6,1111,0.1,0.1,1.1,-18.9,-1.1,1.2
51:43.2,1163.4,0.2,-0.1,0.9,11.9,-7.5,-5.6
51:43.8,1111,0.1,0.1,1,-8.1,10.2,1
51:44.3,1163.4,0,-0.1,1.1,8,2.8,-1.6
51:44.9,1137.2,0.2,-0.2,1,-27,21.6,3.4
51:45.5,1150.3,-0.3,-0.4,1.2,-11.9,15.7,-3.4
51:46.0,1097.9,-0.1,0.1,0.9,-12.8,4.3,0.7
51:46.6,1111,0.1,0.3,0.8,-22.9,13.2,26.3
51:47.1,1111,0,0,1,-6.5,-1,43.7
51:47.7,1045.5,-0.1,0,0.7,-25.5,-7.8,23.2
51:48.3,1084.8,-0.2,-0.2,1.2,3.6,0.5,18.6
51:48.8,1084.8,0.2,0.2,0.6,3,-4.1,38.8
51:49.4,1084.8,-0.1,0.1,1.1,4.9,3.4,15.9
51:50.0,1084.8,0,-0.1,0.8,-11.1,-3.4,13.1
51:50.5,1111,0.1,-0.1,1.2,11.2,-1.3,27
51:51.1,1124.1,0.1,0.1,0.9,-8.6,8.2,32.2
51:51.6,1111,-0.1,0,0.8,6,-11.5,9.8
51:52.2,1137.2,0.1,-0.1,0.9,-1.6,15.1,18.5
51:52.8,1163.4,-0.1,0,1.1,-5,5.3,29.1
51:53.3,1137.2,0.5,-0.1,0.7,-2.8,-20,30.2
51:53.9,1111,0,0,0.9,-10,6.5,3.3
51:54.5,1124.1,0.1,0.2,0.9,25.4,-8.9,-3.6
51:55.0,1097.9,0,0,1,-13.4,8.2,4.4
51:55.6,1058.6,0,-0.1,0.8,-30,-37.1,4.7
51:56.1,1111,-0.1,-0.5,0.9,30.8,-7.9,-4.8
51:56.7,1124.1,0.2,0,0.9,-9.7,15.6,-2
51:57.3,1124.1,0,0.2,0.8,-20.4,18.6,0.5
51:57.8,1084.8,0.2,0.2,0.7,-5.8,-23.6,54.4
51:58.4,1124.1,0.2,0.1,1,26.8,7.7,23.7
51:59.0,1124.1,0.2,-0.2,1.2,-19.8,-8.5,49
51:59.6,1111,0.1,0,1,-22.9,7.1,33
52:00.1,1137.2,-0.1,-0.5,1.2,15.2,3.6,21.8
52:00.6,1150.3,0.1,0,1.1,-11.8,4.3,44.9
52:01.2,1137.2,-0.1,-0.1,0.7,-18.9,19.8,17.1
52:01.8,1150.3,0,0,1.1,7.9,-23,37.8
52:02.4,1150.3,0,0,1.1,3.2,-11.4,31.9
52:02.9,1137.2,0,0,1,-24.2,7,1.1
52:03.5,1111,0.2,0,0.9,-10.3,-3.4,0.8
52:04.1,1137.2,0,0.2,0.9,13.6,11.1,-2.9
52:04.6,1137.2,0.2,-0.1,1.2,4.5,-29.5,0.7
52:05.1,1097.9,0,-0.3,1,9.5,10.3,-2.3
52:05.7,1124.1,0.1,0.1,1.2,6.2,41.6,6
52:06.3,1111,0,-0.2,1.5,34,0.3,49.2
52:06.9,1111,0.3,-0.1,1,14.2,-19.3,13.6
52:07.4,1111,-0.1,-0.3,0.6,25.8,9.2,43.6
52:08.0,1150.3,-0.1,-0.5,1.2,20.3,18.2,20.3
52:08.6,1111,-0.1,0.1,0.8,-15.6,8.7,32
52:09.1,1124.1,0,-0.3,1.1,4.6,0,39.3
52:09.7,1163.4,0.2,0.1,0.9,0.6,-6.5,14.6
52:10.2,1124.1,0.1,0.2,0.8,-3.4,11.4,23.1
52:10.8,1176.5,0.1,0.1,0.8,4.1,-19.3,37
52:11.4,1163.4,0,-0.6,0.8,-12.5,3.7,23
52:11.9,1163.4,0,0,1,5.5,4.8,-1.9
52:12.5,1137.2,0.2,0.1,0.8,5.8,-16.8,-1.3
52:13.1,1137.2,0.1,0.1,0.8,-7.7,-5.1,-1.4
52:13.6,1150.3,-0.2,-0.2,1,-8.1,9.3,0.3
52:14.2,1111,0.1,0,1,-3.4,3.7,2.6
52:14.7,1124.1,-0.1,-0.1,1,-1.5,12.1,0
52:15.3,1137.2,-0.2,-0.5,1.2,-2.3,-3.2,2.8
52:15.9,1137.2,0,-0.1,0.9,-3.1,0.2,0.3
53:13.6,1163.4,0.1,0,1,-1.9,0.8,0.2
53:14.2,1163.4,0.1,-0.1,1,-2.7,3.9,0.4
53:14.7,1163.4,0.1,-0.1,0.9,-3.6,-0.8,0.3
53:15.3,1189.6,0.1,0.4,1.1,-7.9,-11.8,-1.2
53:15.9,1163.4,0,0.1,1,-1.5,11.2,11.8
53:16.4,1229,0,0.2,0.8,-18.6,-2,45.4
53:17.0,1255.2,0,-0.1,1.1,10.3,-0.3,18.8
53:17.6,1229,0.1,0.1,0.5,-10.3,23.3,26.2
53:18.2,1176.5,0,0.4,1.2,7.5,29.9,38.7
53:18.7,1176.5,0.2,0.1,1,20.7,-11.5,9.9
