timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
24:31.2,1268.2,0.4541,-0.3615,-0.9018,0,0,0
24:31.2,1150.3,0.0136,0.0063,0.9809,0,0,0
24:31.2,1150.3,0.0136,0.0063,0.9809,0,0,0
24:31.5,1150.3,-0.0065,0.0073,0.9575,0,0,0
24:31.5,1150.3,-0.0065,0.0073,0.9575,0,0,0
24:32.1,1189.6,-0.018,0.0163,0.988,0,0,0
24:32.1,1189.6,-0.018,0.0163,0.988,0,0,0
24:32.4,1163.4,0.0134,0.0571,0.9641,0,0,0
24:32.4,1163.4,0.0134,0.0571,0.9641,0,0,0
24:32.7,1163.4,-0.0351,-0.0212,0.9733,0,0,0
24:32.7,1163.4,-0.0351,-0.0212,0.9733,0,0,0
24:33.0,1189.6,-0.1032,-0.0634,0.9953,0,0,0
24:33.0,1189.6,-0.1032,-0.0634,0.9953,0,0,0
24:33.3,1163.4,-0.0944,-0.061,0.9694,0,0,0
24:33.3,1163.4,-0.0944,-0.061,0.9694,0,0,0
24:33.9,1176.5,-0.0429,-0.0266,0.9746,0,0,0
24:33.9,1176.5,-0.0429,-0.0266,0.9746,0,0,0
24:34.2,1176.5,0.0063,-0.01,0.9602,0,0,0
24:34.2,1176.5,0.0063,-0.01,0.9602,0,0,0
24:34.5,1150.3,0.0024,-0.0048,0.9814,0,0,0
24:34.5,1150.3,0.0024,-0.0048,0.9814,0,0,0
24:35.1,1163.4,0.0073,-0.0166,0.9865,0,0,0
24:35.1,1163.4,0.0073,-0.0166,0.9865,0,0,0
24:35.4,1163.4,0.0449,-0.0476,0.9592,0,0,0
24:35.4,1163.4,0.0449,-0.0476,0.9592,0,0,0
24:35.7,1137.2,-0.007,-0.0471,0.9743,0,0,0
24:35.7,1137.2,-0.007,-0.0471,0.9743,0,0,0
24:36.3,1150.3,-0.0258,-0.0375,0.9833,0,0,0
24:36.3,1150.3,-0.0258,-0.0375,0.9833,0,0,0
24:36.5,1163.4,-0.0034,-0.041,0.968,0,0,0
24:36.5,1163.4,-0.0034,-0.041,0.968,0,0,0
24:37.1,1176.5,-0.05,-0.0273,0.9719,0,0,0
24:37.1,1124,-0.0568,-0.0295,0.9855,0,0,0
24:37.1,1124,-0.0568,-0.0295,0.9855,0,0,0
24:37.4,1137.2,0.0046,-0.0341,0.9799,0,0,0
24:37.4,1137.2,0.0046,-0.0341,0.9799,0,0,0
24:37.7,1137.2,0.0187,-0.0024,0.9589,0,0,0
24:37.7,1137.2,0.0187,-0.0024,0.9589,0,0,0
24:37.7,1150.3,-0.0141,-0.0217,0.9812,0,0,0
24:37.7,1150.3,-0.0141,-0.0217,0.9812,0,0,0
24:38.0,1110.9,0.0102,0.0112,0.9487,0,0,0
24:38.0,1110.9,0.0102,0.0112,0.9487,0,0,0
24:38.0,1150.3,-0.0175,-0.0466,0.9714,0,0,0
24:38.0,1150.3,-0.0175,-0.0466,0.9714,0,0,0
24:38.3,1176.5,-0.0117,-0.0095,0.958,0,0,0
24:38.3,1176.5,-0.0117,-0.0095,0.958,0,0,0
24:38.6,1163.4,-0.0092,-0.0124,0.9636,0,0,0
24:38.6,1163.4,-0.0092,-0.0124,0.9636,0,0,0
24:38.6,1163.4,-0.0268,-0.0095,0.9672,0,0,0
24:38.6,1163.4,-0.0268,-0.0095,0.9672,0,0,0
24:38.9,1137.2,-0.0144,-0.0195,0.9672,0,0,0
24:38.9,1137.2,-0.0144,-0.0195,0.9672,0,0,0
24:39.2,1150.3,-0.0163,-0.0129,0.979,0,0,0
24:39.2,1150.3,-0.0163,-0.0129,0.979,0,0,0
24:39.2,1150.3,-0.0051,-0.0234,0.979,0,0,0
24:39.2,1150.3,-0.0051,-0.0234,0.979,0,0,0
24:39.3,1150.3,-0.0051,-0.0234,0.979,0,0,0
24:39.3,1150.3,-0.0051,-0.0234,0.979,0,0,0
24:39.6,1150.3,-0.0009,-0.0053,0.9711,0,0,0
24:39.6,1150.3,-0.0009,-0.0053,0.9711,0,0,0
24:40.2,1163.4,-0.0517,0.062,0.9489,0,0,0
24:40.2,1163.4,-0.0517,0.062,0.9489,0,0,0
24:40.5,1150.3,-0.0163,-0.0102,0.9606,0,0,0
24:40.5,1150.3,-0.0163,-0.0102,0.9606,0,0,0
24:40.8,1124,-0.0483,-0.0153,0.9746,0,0,0
24:40.8,1124,-0.0483,-0.0153,0.9746,0,0,0
24:41.1,1163.4,-0.0131,-0.0012,0.9699,0,0,0
24:41.1,1163.4,-0.0131,-0.0012,0.9699,0,0,0
24:41.4,1137.2,-0.135,0.5842,1.3942,0,0,0
24:41.4,1137.2,-0.135,0.5842,1.3942,0,0,0
24:42.0,1137.2,-2,0.747,-0.5922,0,0,0
24:42.0,1137.2,-2,0.747,-0.5922,0,0,0
24:42.3,1110.9,0.4055,-0.0478,-2,0,0,0
24:42.3,1110.9,0.4055,-0.0478,-2,0,0,0
24:42.9,1084.7,-0.7768,-1.114,-0.6833,0,0,0
24:42.9,1084.7,-0.7768,-1.114,-0.6833,0,0,0
24:43.2,1124,-0.2861,-0.0969,-0.7062,0,0,0
24:43.2,1124,-0.2861,-0.0969,-0.7062,0,0,0
24:43.5,1110.9,-1.3383,-0.7604,-1.507,0,0,0
24:43.5,1110.9,-1.3383,-0.7604,-1.507,0,0,0
24:43.8,1137.2,-0.2016,-0.7211,-0.7995,0,0,0
24:43.8,1137.2,-0.2016,-0.7211,-0.7995,0,0,0
24:44.1,1058.5,0.4323,0.2297,-1.5053,0,0,0
24:44.1,1058.5,0.4323,0.2297,-1.5053,0,0,0
24:44.4,1110.9,-0.9321,0.6428,0.4487,0,0,0
24:44.4,1110.9,-0.9321,0.6428,0.4487,0,0,0
24:44.7,1124,1.2763,1.3483,-0.7331,0,0,0
24:44.7,1124,1.2763,1.3483,-0.7331,0,0,0
24:45.0,1110.9,-1.145,-0.7268,-1.7812,0,0,0
24:45.0,1110.9,-1.145,-0.7268,-1.7812,0,0,0
24:45.3,1110.9,0.2287,-1.5053,-0.8178,0,0,0
24:45.3,1110.9,0.2287,-1.5053,-0.8178,0,0,0
24:45.6,1124,-0.9597,0.1337,-1.9213,0,0,0
24:45.6,1124,-0.9597,0.1337,-1.9213,0,0,0
24:45.9,1097.8,0.3591,1.4084,0.0336,0,0,0
