id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
180_1,2025-07-19 01:04:54.664322,180,-292.9,-0.2521,-0.258,1.0075
180_2,2025-07-19 01:04:54.764322,180,-30.8,-0.25,-0.2565,1.0056
180_3,2025-07-19 01:04:54.864322,180,-30.8,-0.2512,-0.26,1.008
187_1,2025-07-19 01:04:55.329183,187,-424.0,-0.2458,-0.2551,1.0043
187_2,2025-07-19 01:04:55.429183,187,-292.9,-0.2431,-0.2573,1.0095
187_3,2025-07-19 01:04:55.529183,187,-555.1,-0.2509,-0.2548,1.0073
190_1,2025-07-19 01:04:55.631733,190,-555.1,-0.2534,-0.2553,1.0114
190_2,2025-07-19 01:04:55.731733,190,-555.1,-0.2495,-0.2568,1.0068
190_3,2025-07-19 01:04:55.831733,190,-292.9,-0.2519,-0.259,1.0109
193_1,2025-07-19 01:04:55.930824,193,-292.9,-0.2524,-0.2563,1.0087
193_2,2025-07-19 01:04:56.030824,193,-555.1,-0.2548,-0.2517,1.0019
193_3,2025-07-19 01:04:56.130824,193,-424.0,-0.2507,-0.2561,0.999
199_1,2025-07-19 01:04:56.535387,199,100.3,-0.2468,-0.2573,1.0014
199_2,2025-07-19 01:04:56.635387,199,-292.9,-0.2529,-0.2556,1.0073
199_3,2025-07-19 01:04:56.735387,199,-292.9,-0.2497,-0.2568,1.0063
202_1,2025-07-19 01:04:56.836250,202,-555.1,-0.2514,-0.258,1.0078
202_2,2025-07-19 01:04:56.936250,202,-817.2,-0.2482,-0.258,1.0083
202_3,2025-07-19 01:04:57.036250,202,-424.0,-0.2482,-0.2558,1.0092
205_1,2025-07-19 01:04:57.130407,205,-292.9,-0.2529,-0.2614,1.0041
205_2,2025-07-19 01:04:57.230407,205,-424.0,-0.2524,-0.2553,1.0102
205_3,2025-07-19 01:04:57.330407,205,-555.1,-0.2524,-0.2548,1.017
211_1,2025-07-19 01:04:58.031568,211,-30.8,-0.2482,-0.2517,1.0056
211_2,2025-07-19 01:04:58.131568,211,231.4,-0.2492,-0.2612,1.0043
211_3,2025-07-19 01:04:58.231568,211,100.3,-0.2495,-0.2543,1.0131
214_1,2025-07-19 01:04:58.031948,214,-292.9,-0.2482,-0.257,1.0126
214_2,2025-07-19 01:04:58.131948,214,100.3,-0.2543,-0.2592,1.0019
214_3,2025-07-19 01:04:58.231948,214,100.3,-0.2524,-0.259,1.0112
217_1,2025-07-19 01:04:58.335651,217,-30.8,-0.2539,-0.2592,1.0021
217_2,2025-07-19 01:04:58.435651,217,-161.8,-0.2546,-0.2565,1.0031
217_3,2025-07-19 01:04:58.535651,217,-424.0,-0.2512,-0.2558,1.0126
223_1,2025-07-19 01:04:58.933263,223,-161.8,-0.2507,-0.2556,1.0158
223_2,2025-07-19 01:04:59.033263,223,-161.8,-0.2531,-0.2534,1.0085
223_3,2025-07-19 01:04:59.133263,223,-424.0,-0.2526,-0.2587,1.0068
232_1,2025-07-19 01:04:59.832060,232,-424.0,-0.2485,-0.2524,1.007
232_2,2025-07-19 01:04:59.932060,232,-686.1,-0.2509,-0.2575,1.0126
232_3,2025-07-19 01:05:00.032060,232,-686.1,-0.2507,-0.2565,1.0107
235_1,2025-07-19 01:05:00.138121,235,-424.0,-0.2507,-0.2556,1.0026
235_2,2025-07-19 01:05:00.238121,235,-555.1,-0.2531,-0.2578,1.0031
235_3,2025-07-19 01:05:00.338121,235,-555.1,-0.2463,-0.2517,1.0073
238_1,2025-07-19 01:05:00.437028,238,-424.0,-0.2514,-0.2548,1.0075
238_2,2025-07-19 01:05:00.537028,238,-555.1,-0.2453,-0.2539,1.0046
238_3,2025-07-19 01:05:00.637028,238,-424.0,-0.2487,-0.2556,1.0124
241_1,2025-07-19 01:05:00.730234,241,-30.8,-0.2451,-0.2609,1.009
