date_time timestamp pressure accel_x accel_y accel_z gyro_x gyro_y gyro_z
2025-05-21 11:04:34.572 16:14.5 3181.9 0.0156 0.0037 0.9829 -2.4 1.3 0.3
2025-05-21 11:04:34.672 16:14.6 3195.0 0.0178 -0.0093 0.9744 -2.4 1.2 0.3
2025-05-21 11:04:34.771 16:14.7 3208.1 0.0178 0.0002 0.9795 -2.2 1.1 0.2
2025-05-21 11:04:34.872 16:14.8 3221.2 0.0190 -0.0005 0.9751 -2.2 1.3 0.3
2025-05-21 11:04:34.972 16:14.9 3208.1 0.0198 -0.0017 0.9709 -2.1 1.3 -0.0
2025-05-21 11:04:35.072 16:15.0 3208.1 0.0186 0.0056 0.9724 -2.4 1.3 0.2
2025-05-21 11:04:35.172 16:15.1 3195.0 0.0166 0.0032 0.9810 -2.2 1.4 0.2
2025-05-21 11:04:35.272 16:15.2 3181.9 0.0159 0.0020 0.9709 -2.2 1.5 0.2
2025-05-21 11:04:35.372 16:15.3 3234.3 0.0142 0.0056 0.9746 -2.2 1.4 0.1
2025-05-21 11:04:35.472 16:15.4 3221.2 0.0168 -0.0002 0.9741 -2.3 1.4 0.3
2025-05-21 11:04:35.572 16:15.5 3195.0 0.0154 0.0024 0.9700 -2.3 1.4 0.2
2025-05-21 11:04:35.673 16:15.6 3181.9 0.0217 0.0032 0.9753 -2.3 1.4 0.4
2025-05-21 11:04:35.772 16:15.7 3181.9 0.0164 0.0002 0.9839 -2.2 1.4 0.2
2025-05-21 11:04:35.872 16:15.8 3208.1 0.0190 0.0032 0.9688 -2.4 1.4 0.1
2025-05-21 11:04:35.972 16:15.9 3208.1 0.0146 0.0032 0.9758 -2.2 1.2 0.2
2025-05-21 11:04:36.075 16:16.0 3195.0 0.0151 0.0042 0.9683 -2.3 1.4 0.3
2025-05-21 11:04:36.172 16:16.1 3221.2 0.0251 0.0005 0.9680 -2.4 1.3 0.3
2025-05-21 11:04:36.272 16:16.2 3195.0 0.0205 0.0020 0.9690 -2.3 1.3 0.3
2025-05-21 11:04:36.372 16:16.3 3181.9 0.0203 0.0039 0.9761 -2.3 1.5 0.2
