timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
35:19.0,888.2,0.1,-0.3,1.2,0,-35.3,43.2
35:19.5,914.4,-0.3,-1,1,3.5,-14.6,18.9
35:20.1,914.4,0.2,-0.3,0.7,28.4,-4.1,30.6
35:20.7,927.5,0.1,-0.1,1.1,-14.3,9.3,43.6
35:21.3,979.9,-0.1,0,1,-6.4,4.9,6.6
35:21.8,953.7,0,-0.2,1.1,1,-9.4,0.2
35:22.3,927.5,0,-0.2,1.2,-5.8,-3.1,0.8
35:22.9,901.3,-0.1,0.1,0.9,-17.4,-17.3,4.4
35:23.5,914.4,0,-0.1,1.2,-5.8,-9.5,-1.6
35:24.1,914.4,0.1,0.1,1.3,6.8,24.4,-1.6
35:24.6,927.5,-0.2,-0.3,1.1,-12.1,-26.2,4.6
35:25.2,888.2,0,-0.3,1.1,9.6,0.6,18.8
35:25.8,940.6,0,-0.1,0.9,-14.8,-9.8,38.5
35:26.3,914.4,0,-0.1,0.8,-0.7,0.9,16
35:26.8,901.3,-0.1,-0.5,0.9,-4.4,-13.8,16
35:27.4,901.3,-0.1,-0.1,1.1,2.1,12.5,29.6
35:28.0,862,0.1,-0.2,1.2,16.6,1.4,26.1
35:28.6,914.4,0,0.1,1.1,-0.9,4.6,16
35:29.1,901.3,0,-0.4,1.1,6.6,-14.4,38.1
35:29.7,848.8,0,0,0.9,-11.1,3.4,24.7
35:30.3,914.4,0.2,-0.1,1.1,1.1,-1.5,23.9
35:30.8,888.2,0,-0.2,1,2.6,-13.5,41.8
35:31.4,888.2,0,0,0.3,16.3,12.5,15
35:31.9,901.3,-0.1,-0.1,1.3,-2.7,11.6,5
35:32.5,901.3,0,-0.1,0.8,16.9,13.8,-7.5
35:33.1,927.5,0,0.2,1.2,-14,4.9,4.4
35:33.6,888.2,0,-0.1,0.9,-7.3,4.3,0.6
35:34.2,940.6,-0.1,0.1,0.9,6.7,1.2,-4.9
35:34.8,875.1,0.1,0,1.2,-1.3,13.3,0
35:35.3,888.2,0.1,0.1,0.9,-8.2,-6.8,15
35:35.9,901.3,0.2,0.1,0.9,3.8,-5,25.5
35:36.4,888.2,-0.1,0,0.8,-2.2,26,34.2
35:37.0,914.4,0,0,1.2,5.8,-3.3,9.1
35:37.6,875.1,0,0.1,1.1,7.4,11.4,16.7
35:38.1,888.2,0,0.2,1,2.5,-4.5,33.3
35:38.7,875.1,0.2,-0.3,0.8,19.6,-9.4,16.9
35:39.3,901.3,-0.1,0.3,0.9,-0.2,-3.2,11.4
35:39.8,914.4,-0.1,-0.2,1,9.4,-11.7,22.2
